Channel Modulation  Activity    Name    Receive   PL     Location
  247   FM          voice       WW6BAY  443.975   100.0  Oakland
  248   FM          -           WA6INC  444.000   -      San Jose (closed)
  249   DMR         data        K6HLE   444.025   -      San Jose
  250   DMR         -           K6HLE   444.0375  -      San Jose
  251   FM          -           KB6FEC  444.050   162.2  San Jose
  252   Dstar       data        WW6BAY  444.075   -      Palo Alto
  253   FM          callsign    W1NSA   444.100   -      Sunnyvale (closed)
  254   FM          -           W6CBS   444.125   -      San Carlos (closed)
  255   DMR         -           WB6PQM  444.150   -      Concord
  256   FM          -           WA6RQX  444.175   192.8  San Jose
  257   FM          -           W6RGG   444.200   107.2  San Leandro
  258   FM          -           KE6JTK  444.225   131.8  San Jose
  259   FM          -           WB6TCS  444.250   100.0  Oakland
  260   DMR         -           WA6HTP  444.2625  -      San Jose
  261   FM          -           WA6KQB  444.275   82.5   San Pablo
  262   FM          -           W7AFG   444.300   173.8  San Jose
  263   FM          -           WA6INC  444.325   -      San Jose (closed)
  264   DMR         -           WW6BAY  444.350   -      Palo Alto
  265   FM          -           N6INC   444.375   -      Milpitas (closed)
  266   FM          -           WA6YCZ  444.400   -      San Jose (closed)
  267   Fusion      data        WW6BAY  444.425   127.3  Palo Alto
  268   FM          -           WB6JSO  444.450   100.0  San Jose
  269   DMR         data        W6OTX   444.475   -      San Jose
  270   FM          -           K6MPN   444.500   100.0  Redwood City
  271   FM          -           K6SNY   444.525   94.8   Sunnyvale
  272   FM          -           K6GOD   444.550   -      San Jose (closed)
  273   FM          -           W6NAD   444.575   -      Morgan Hill (closed)
  274   FM          -           WB6OQS  444.600   141.3  San Jose
  275   FM          -           N6NAC   444.625   110.9  San Jose
  276   FM          -           W6PUE   444.650   -      Oakland (closed)
  277   FM          voice       W6RCA   444.675   -      Oakland (closed)
  278   FM          -           WB6KHP  444.700   127.3  San Jose
  279   FM          voice       K6GOD   444.725   162.2  San Jose
  280   FM          -           N9JIM   444.750   100.0  Santa Clara
  281   FM          -           W6YOP   444.775   127.3  Orinda
  282   FM          -           KC6ULT  444.7875  -      San Mateo (closed)
  283   FM          voice       WA6GEL  444.800   -      San Jose (closed)
  284   FM          -           K6EAG   444.825   127.3  Hayward
  285   FM          -           N6AMO   444.850   110.9  Monterey
  286   DMR         data        KQ6RC   444.875   -      Santa Clara (closed)
  287   FM          -           KU6V    444.900   110.9  San Jose
  288   FM          -           KB6LCS  444.925   156.7  Los Gatos
  289   FM          -           KB6LED  444.950   162.2  Palo Alto
  290   FM          voice       WB6KHP  444.975   127.3  Los Gatos
